Rating,Reviews,Book_title,Description,Number_Of_Pages,Type,Price
3.83,0,Basic Proof Theory,"This introduction to the basic ideas of structural proof theory contains a thorough discussion and comparison of various types of formalization of first-order logic. Examples are given of several areas of application, namely: the metamathematics of pure first-order logic (intuitionistic as well as classical); the theory of logic programming; category theory; modal logic; l ...more",355,Hardcover,59.52647059
4.16,11,C: A Reference Manual,"This best-selling, authoritative reference manual provides a complete description of the C language, the run-time libraries, and a style of C programming that emphasizes correctness, portability, and maintainability. Describing the C language more clearly and in more detail than any other book, authors Samuel P. Harbison and Guy L. Steele Jr. provide in a single manual: St ...more",458,Paperback,59.97941176
4.14,224,Working Effectively with Legacy Code,"Get more out of your legacy systems, more performance, functionality, reliability, and manageability.Is your code easy to change? Can you get nearly instantaneous feedback when you do change it? Do you understand it? If the answer to any of these questions is no, you have legacy code, and it is draining time and money away from your development efforts.

In this book, Michae













...more",464,Paperback,60.05882353
4.1,13,API Design for C++,"API Design for C++ provides a comprehensive discussion of Application Programming Interface (API) development, from initial design through implementation, testing, documentation, release, versioning, maintenance, and deprecation. It is the only book that teaches the strategies of C++ API development, including interface design, versioning, scripting, and plug-in extensibil



...more",472,Paperback,60.18235294
3,0,Cross-Platform Game Programming (Game Development) (Charles River Media Game Development),"With many of today's games being released simultaneously on all platforms, the need for a good cross-platform development strategy is essential. Cross-Platform Game Programming covers this rarely discussed area and provides the techniques needed to develop your games effectively. It explains the plethora of problems that exist within every cross-platform game, and gives yo ...more",460,Paperback,60.39117647
4.18,351,Design Patterns: Elements of Reusable Object-Oriented Software,"Capturing a wealth of experience about the design of object-oriented software, four top-notch designers present a catalog of simple and succinct solutions to commonly occurring design problems. Previously undocumented, these 23 patterns allow designers to create more flexible, elegant, and ultimately reusable designs without having to rediscover the design solutions themse

...more",416,Hardcover,60.68235294
3.52,9,Haskell: The Craft of Functional Programming,"This student-focused introduction to the Haskell programming language emphasizes the process of crafting programs, problem solving and avoiding common pitfalls. Running examples and case studies highlight new concepts and alternative approaches to program design.",487,Paperback,60.68235294
4.13,5,Object-Oriented Design Heuristics,Provides a set of metrics that helps determine the quality of object-oriented models. This book offers insight into object-oriented design improvement. The more than sixty guidelines presented in this book are language-independent and allow you to rate the integrity of a software design.,379,Hardcover,60.68235294
4.12,25,C Primer Plus,"Giving task-oriented examples, this book teaches you the fundamentals of C programming. From extended integer types and compound literals to Boolean support and variable-length arrays, this book helps you learn to create practical and real-world applications with C programming. It contains review questions and programming exercises.",959,Paperback,60.68235294
3,0,"Lambda-Calculus, Combinators and Functional Programming","Originally published in 1988, this book presents an introduction to lambda-calculus and combinators without getting lost in the details of mathematical aspects of their theory. Lambda-calculus is treated here as a functional language and its relevance to computer science is clearly demonstrated. The main purpose of the book is to provide computer science students and resea ...more",192,Paperback,61.16764706
4.22,34,C++ Primer,"Bestselling Programming Tutorial and Reference Completely Rewritten for the New C++11 Standard Fully updated and recast for the newly released C++11 standard, this authoritative and comprehensive introduction to C++ will help you to learn the language fast, and to use it in modern, highly effective ways. Highlighting today's best practices, the authors show how to use both ...more",976,Paperback,61.18529412
4.37,18,Mining of Massive Datasets,"The popularity of the Web and Internet commerce provides many extremely large datasets from which information can be gleaned by data mining. This book focuses on practical algorithms that have been used to solve key problems in data mining and which can be used on even the largest datasets. It begins with a discussion of the map-reduce framework, an important tool for para ...more",326,Hardcover,61.26470588
4.21,15,"Framework Design Guidelines: Conventions, Idioms, and Patterns for Reusable .NET Libraries","""Framework Design Guidelines, Second Edition, "" teaches developers the best practices for designing reusable libraries for the Microsoft .NET Framework. Expanded and updated for .NET 3.5, this new edition focuses on the design issues that directly affect the programmability of a class library, specifically its publicly accessible APIs. This book can improve the work of any






...more",480,Hardcover,61.42058824
4.37,52,Dependency Injection in .NET,"Summary

Dependency Injection in .NET, winner of the 2013 Jolt Awards for Productivity, presents core DI patterns in plain C#, so you'll fully understand how DI works, covers integration with standard Microsoft technologies like ASP.NET MVC, and teaches you to use DI frameworks like Structure Map, Castle Windsor, and Unity.
About the Technology
Dependency Injection is a great





































...more",584,Paperback,61.85588235
3.88,26,Think Like a Programmer: An Introduction to Creative Problem Solving,"Rewire your brain

Examples in this book are written in C++, but will improve your ability to think like a programmer in any language.

The real challenge of programming isn't learning a language's syntax—it's learning to creatively solve problems so you can build something great. In this one-of-a-kind text, author V. Anton Spraul breaks down the ways that programmers solve pr






...more",233,Paperback,62.79117647
3.7,1,Augmented Reality: Principles and Practice,"Today's Comprehensive and Authoritative Guide to Augmented Reality
By overlaying computer-generated information on the real world, augmented reality (AR) amplifies human perception and cognition in remarkable ways. Working in this fast-growing field requires knowledge of multiple disciplines, including computer vision, computer graphics, and human-computer interaction.
...more",528,Paperback,63.83529412
4.67,78,"Fluent Python: Clear, Concise, and Effective Programming","Python's simplicity lets you become productive quickly, but this often means you aren't using everything it has to offer. With this hands-on guide, you'll learn how to write effective, idiomatic Python code by leveraging its best and possibly most neglected features. Author Luciano Ramalho takes you through Python's core language features and libraries, and shows you how t


















...more",792,Paperback,64.09117647
4.21,20,Hacker's Delight,"Aiming to tell the dark secrets of computer arithmetic, this title is suitable for library developers, compiler writers, and lovers of elegant hacks.",320,Hardcover,64.23235294
3.87,13,Domain-Specific Languages,"When carefully selected and used, Domain-Specific Languages (DSLs) may simplify complex code, promote effective communication with customers, improve productivity, and unclog development bottlenecks. In Domain-Specific Languages , noted software development expert Martin Fowler first provides the information software professionals need to decide if and when to utilize D
...more",597,Hardcover,64.39117647
4.05,62,Implementing Domain-Driven Design,"Implementing Domain-Driven Design presents a top-down approach to understanding domain-driven design (DDD) in a way that fluently connects strategic patterns to fundamental tactical programming tools. Vaughn Vernon couples guided approaches to implementation with modern architectures, highlighting the importance and value of focusing on the business domain while balancing



...more",656,Hardcover,64.76470588
4.58,58,CLR via C# (Developer Reference),"Dig deep and master the intricacies of the common language runtime, C#, and .NET development. Led by programming expert Jeffrey Richter, a longtime consultant to the Microsoft .NET team - you’ll gain pragmatic insights for building robust, reliable, and responsive apps and components.


Fully updated for .NET Framework 4.5 and Visual Studio 2012 Delivers a thorough grounding


...more",863,Paperback,66.32058824
3.92,0,The Calculus of Computation: Decision Procedures with Applications to Verification,"This textbook introduces computational logic from the foundations of first-order logic to state-of-the-art decision procedures for arithmetic, data structures, and combination theories. The book also presents a logical approach to engineering correct software.",366,Hardcover,66.82058824
4.2,17,"C++ Coding Standards: 101 Rules, Guidelines, and Best Practices (C++ in Depth Series)","Consistent, high-quality coding standards improve software quality, reduce time-to-market, promote teamwork, eliminate time wasted on inconsequential matters, and simplify maintenance. Now, two of the world's most respected C++ experts distill the rich collective experience of the global C++ community into a set of coding standards that every developer and development team ...more",240,Paperback,66.82058824
4,11,How to Design Programs: An Introduction to Programming and Computing,"This introduction to programming places computer science in the core of a liberal arts education. Unlike other introductory books, it focuses on the program design process. This approach fosters a variety of skills--critical reading, analytical thinking, creative synthesis, and attention to detail--that are important for everyone, not just future computer programmers. The



...more",728,Hardcover,66.83235294
4.32,39,Advanced Programming in the UNIX Environment,"A major revision of the definitive guide to Unix system programming with sales exceeding 160,000 units! It describes and illustrates more than 200 system calls - the interface that programmers must master in order to access all major Unix internal resources. The New Edition covers the final POSIX.1 standard as well as threads and multi-threaded programming. It includes all ...more",927,Hardcover,67.83529412
3.96,150,Learning Python,"Portable, powerful, and a breeze to use, Python is the popular open source object-oriented programming language used for both standalone programs and scripting applications. Python is considered easy to learn, but there's no quicker way to mastery of the language than learning from an expert teacher. This edition of ""Learning Python"" puts you in the hands of two expert tea ...more",1214,Paperback,67.87352941
3.95,36,Programming PHP,"Programming PHP, 2nd Edition, is the authoritative guide to PHP 5 and is filled with the unique knowledge of the creator of PHP (Rasmus Lerdorf) and other PHP experts. When it comes to creating websites, the PHP scripting language is truly a red-hot property. In fact, PHP is currently used on more than 19 million websites, surpassing Microsoft's ASP .NET technology in popu ...more",542,Paperback,69.31764706
4.42,426,The C Programming Language,"This book is meant to help the reader learn how to program in C. It is the definitive reference guide, now in a second edition. Although the first edition was written in 1978, it continues to be a worldwide best-seller. This second edition brings the classic original up to date to include the ANSI standard.

From the Preface:
We have tried to retain the brevity of the fir


...more",288,Paperback,69.37941176
4.08,92,The C++ Programming Language,"More than three-quarters of a million programmers have benefited from this book in all of its editions Written by Bjarne Stroustrup, the creator of C++, this is the world's most trusted and widely read book on C++. For this special hardcover edition, two new appendixes on locales and standard library exception safety (also available at www.research.att.com/ bs/) have been
...more",1040,Hardcover,69.37941176
4,6,Mathematics for 3D Game Programming and Computer Graphics,"Sooner or later, all game programmers run into coding issues that require an understanding of mathematics or physics concepts such as collision detection, 3D vectors, transformations, game theory, or basic calculus. Unfortunately, most programmers frequently have a limited understanding of these essential mathematics and physics concepts. MATHEMATICS AND PHYSICS FOR PROGRA ...more",545,Hardcover,69.89117647
3.96,13,Pro TypeScript: Application-Scale JavaScript Development,"Explore the features of this innovative open source language in depth, from working with the type system through object-orientation to understanding the runtime and the TypeScript compiler. This fully revised and updated second edition of Steve Fenton’s popular book covers everything you need to discover this fascinating language and transform your experience of JavaScript














...more",256,Paperback,70.35294118
4.31,36,"The Protocols (TCP/IP Illustrated, Volume 1)","Fatbrain Review With a hands-on approach to studying, this best-selling guide explains TCP/IP protocols. In eight chapters, it provides the most thorough coverage of TCP available. It also covers the newest TCP/IP features, including multicasting, path MTU discovery and long fat pipes.
The author describes various protocols, including ARP, ICMP and UDP. He utilizes netw

...more",600,Hardcover,70.75882353
4.15,191,Domain-Driven Design: Tackling Complexity in the Heart of Software,"""Eric Evans has written a fantastic book on how you can make the design of your software match your mental model of the problem domain you are addressing. ""His book is very compatible with XP. It is not about drawing pictures of a domain; it is about how you think of it, the language you use to talk about it, and how you organize your software to reflect your improving und
...more",560,Hardcover,71.41470588
4.23,18,Feynman Lectures On Computation,"When, in 1984–86, Richard P. Feynman gave his famous course on computation at the California Institute of Technology, he asked Tony Hey to adapt his lecture notes into a book. Although led by Feynman, the course also featured, as occasional guest speakers, some of the most brilliant men in science at that time, including Marvin Minsky, Charles Bennett, and John Hopfield. A ...more",320,Paperback,72.37647059
4.13,0,Communication Networks: Fundamental Concepts and Key Architectures,"This book is designed for introductory one-semester or one-year courses in communications networks in upper-level undergraduate programs. The second half of the book can be used in more advanced courses. As pre-requisites the book assumes a general knowledge of computer systems and programming, and elementary calculus. The second edition expands on the success of the first ...more",928,Hardcover,75.7
3.56,5,The Unified Modeling Language User Guide,"Introduced in 1997, the Unified Modeling Language (UML) has rapidly been accepted throughout the software industry as the standard graphical language for specifying, constructing, visualizing, and documenting software-intensive systems. The UML provides anyone involved in the production, deployment, and maintenance of software with a standard notation for expressing a syst







...more",475,Hardcover,77.05294118
4.3,2,"Introduction to Game Design, Prototyping, and Development: From Concept to Playable Game with Unity and C#","Learn Game Design, Prototyping, and Programming with Today's Leading Tools: Unity(TM) and C# Award-winning game designer and professor Jeremy Gibson has spent the last decade teaching game design and working as an independent game developer. Over the years, his most successful students have always been those who effectively combined game design theory, concrete rapid-pro ...more",908,Paperback,77.05294118
3.78,1,Lambda-Calculus and Combinators: An Introduction,"Combinatory logic and λ-calculus were originally devised in the 1920s for investigating the foundations of mathematics using the basis concept of 'operation' instead of 'set'. They have since evolved into important tools for the development and study of programming languages.

The authors' previous book Introduction to Combinators and λ-Calculus served as the main reference





...more",345,Hardcover,78.43529412
4.41,48,Algorithms,"This fourth edition of Robert Sedgewick and Kevin Wayne's Algorithms is the leading textbook on algorithms today and is widely used in colleges and universities worldwide. This book surveys the most important computer algorithms currently in use and provides a full treatment of data structures and algorithms for sorting, searching, graph processing, and string processing -






...more",976,Hardcover,78.60882353
3.86,5,Computational Complexity,This modern introduction to the Theory of Computer Science is the first unified introduction to Computational Complexity. It offers a comprehensive and accessible treatment of the theory of algorithms and complexity—the elegant body of concepts and methods developed by computer scientists over the past 30 years for studying the performance and limitations of computer algor ...more,544,Paperback,78.73235294
4.24,11,C++ Templates: The Complete Guide,"Templates are among the most powerful features of C++, but they are too often neglected, misunderstood, and misused. C++ Templates: The Complete Guide provides software architects and engineers with a clear understanding of why, when, and how to use templates to build and maintain cleaner, faster, and smarter software more efficiently. C++ Templates begins with an insightf ...more",560,Hardcover,79.1
4.23,35,The UNIX Programming Environment,"In their preface, the authors explain, ""This book is meant to help the reader learn how to program in C. It contains tutorial introduction to get new users started as soon as possible, separate chapters on each major feature, and a reference manual. Most of the treatment is based on reading, writing, and revising examples, rather than on mere statement of rules. For the mo ...more",357,Paperback,79.72352941
4.33,28,Concrete Mathematics: A Foundation for Computer Science,"Concrete Mathematics is a blending of CONtinuous and disCRETE mathematics. ""More concretely,"" the authors explain, ""it is the controlled manipulation of mathematical formulas, using a collection of techniques for solving problems.""",672,Hardcover,79.80588235
4.25,3,Inside the C++ Object Model,"Aimed at the beginner/intermediate C++ programmer who wants to understand the semantic implications of the C++ object model and how the model affects their programs, Inside the C++ Object Model explains where overhead costs reside, and what they actually consist of.",304,Paperback,80.84411765
4.05,39,Machine Learning,"Mitchell covers the field of machine learning, the study of algorithms that allow computer programs to automatically improve through experience and that automatically infer general laws from specific data.",414,Paperback,81.88823529
4.34,79,The Algorithm Design Manual,"Book by Skiena, Steven S",730,Hardcover,81.92058824
4.15,20,Algorithm Design,Algorithm Design introduces algorithms by looking at the real-world problems that motivate them. The book teaches a range of design and analysis techniques for problems that arise in computing applications. The text encourages an understanding of the algorithm design process and an appreciation of the role of algorithms in the broader field of computer science.,864,Hardcover,81.92058824
3.94,45,xUnit Test Patterns: Refactoring Test Code,"Automated testing is a cornerstone of agile development. An effective testing strategy will deliver new functionality more aggressively, accelerate user feedback, and improve quality. However, for many developers, creating effective automated tests is a unique and unfamiliar challenge. xUnit Test Patterns is the definitive guide to writing automated tests using xUnit, th

















































...more",883,Hardcover,82.16764706
3.59,0,Genetic Programming II: Automatic Discovery of Reusable Programs,"Genetic Programming II extends the results of John Koza's ground-breaking work on programming by means of natural selection, described in his first book, Genetic Programming. Using a hierarchical approach, Koza shows that complex problems can be solved by breaking them down into smaller, simpler problems using the recently developed technique of automatic function definiti ...more",768,Hardcover,82.36764706
3.48,3,Optimized C++: Proven Techniques for Heightened Performance,"In today's fast and competitive world, a program's performance is just as important to customers as the features it provides. This practical guide teaches developers performance-tuning principles that enable optimization in C++. You'll learn how to make code that already embodies best practices of C++ design run faster and consume fewer resources on any computer--whether i













...more",388,Paperback,83.15
4.45,88,Deep Learning,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives.

Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge fro





...more",787,ebook,83.20294118
4.02,3,Practical Foundations for Programming Languages,"Ebook is freely available on the author site:
http://www.cs.cmu.edu/~rwh/pfpl/2nded...
...more",582,ebook,83.21176471
4.03,10,Engineering a Compiler,"The proliferation of processors, environments, and constraints on systems has cast compiler technology into a wider variety of settings, changing the compiler and compiler writer's role. No longer is execution speed the sole criterion for judging compiled code. Today, code might be judged on how small it is, how much power it consumes, how well it compresses, or how many p



...more",801,Hardcover,83.66176471
3.92,27,Object-Oriented Analysis and Design with Applications,"Grady Booch and his co-authors draw upon the rich and varied results of object-oriented software development projects and offer improved methods for their analysis and design, lightly making use of UML notation. Booch illustrates essential concepts, explains the method, and shows successful applications in a variety of fields. Booch also gives pragmatic advice on a host of ...more",720,Hardcover,83.70294118
3.77,28,Database System Concepts,"Intended for a first course in databases at the junior or senior undergraduate, or first-year graduate, level, this book covers concepts and algorithms based on those used in commercial or experimental database systems. It aims to present these concepts and algorithms in a general setting that is not tied to one particular database system.",1142,Hardcover,85.60588235
3.91,4,Elements of the Theory of Computation,"Lewis and Papadimitriou present this long awaited Second Edition of their best-selling theory of computation. The authors are well-known for their clear presentation that makes the material accessible to a a broad audience and requires no special previous mathematical experience. KEY TOPICS: In this new edition, the authors incorporate a somewhat more informal, friendly ...more",384,Paperback,87.24705882
4.25,48,"Agile Software Development, Principles, Patterns, and Practices","Written by a software developer for software developers, this book is a unique collection of the latest software development methods. The author incudes OOD, UML, Design Patterns, Agile and XP methods with a detailed description of a complete software design for reusable programs in C++ and Java. Using a practical, problem-solving approach, it shows how to develop an obje ...more",552,Hardcover,87.28529412
4.14,6,3D Math Primer for Graphics and Game Development,"This engaging book presents the essential mathematics needed to describe, simulate, and render a 3D world. Reflecting both academic and in-the-trenches practical experience, the authors teach you how to describe objects and their positions, orientations, and trajectories in 3D using mathematics. The text provides an introduction to mathematics for game designers, including ...more",846,Hardcover,87.38235294
4.23,66,Introduction to the Theory of Computation,"This highly anticipated revision builds upon the strengths of the previous edition. Sipser's candid, crystal-clear style allows students at every level to understand and enjoy this field. His innovative ""proof idea"" sections explain profound concepts in plain English. The new edition incorporates many improvements students and professors have suggested over the years, and
...more",431,Hardcover,90.98235294
4,5,Game Programming Gems,"For the countless tasks involved in creating a game engine there are an equal number of possible solutions. But instead of spending hours and hours trying to develop your own answers, now you can find out how the pros do it! Game Programming Gems is a hands-on, comprehensive resource packed with a variety of game programming algorithms written by experts from the game indu ...more",600,Hardcover,91.04705882
4.01,0,Game Programming Gems 2,"Blazing through the excitement generated by the first volume, Game Programming Gems II is here with an entirely new set of innovative ideas, techniques,and algorithms. Game developers of all levels will find insightful tips and tools from this unique collection.Written by game programming experts,each contribution provides a hands-on solution to a programming problem, or a ...more",575,Hardcover,91.04705882
4.03,0,Game Programming Gems 5,"With every new volume, the Game Programming Gems series continues to provide a road map through the vast array of development challenges facing today's game programmers. With the wisdom of many industry experts, Gems 5 includes 62 newly unearthed gems that were polished up for your reading pleasure. These gems are filled with practical insights and techniques that will sol ...more",791,Hardcover,91.04705882
4.33,194,Introduction to Algorithms,"This title covers a broad range of algorithms in depth, yet makes their design and analysis accessible to all levels of readers. Each chapter is relatively self-contained and can be used as a unit of study. The algorithms are described in English and in a pseudocode designed to be readable by anyone who has done a little programming. The explanations have been kept element ...more",1180,Hardcover,92.25588235
4.06,3,Geometric Algebra for Computer Science: An Object-Oriented Approach to Geometry,"Until recently, almost all of the interactions between objects in virtual 3D worlds have been based on calculations performed using linear algebra. Linear algebra relies heavily on coordinates, however, which can make many geometric programming tasks very specific and complex-often a lot of effort is required to bring about even modest performance enhancements. Although li

...more",626,Hardcover,92.35882353
3.97,4,Essentials of Programming Languages,"This book provides students with a deep, working understanding of the essential concepts of programming languages. Most of these essentials relate to the semantics, or meaning, of program elements, and the text uses interpreters (short programs that directly analyze an abstract representation of the program text) to express the semantics of many essential language elements

...more",410,Hardcover,92.41176471
4.37,44,"The Art of Computer Programming, Volume 1: Fundamental Algorithms","The bible of all fundamental algorithms and the work that taught many of today's software developers most of what they know about computer programming. -Byte, September 1995 I can't begin to tell you how many pleasurable hours of study and recreation they have afforded me! I have pored over them in cars, restaurants, at work, at home... and even at a Little League game wh
...more",672,Hardcover,93.45588235
4.1,7,Essential Mathematics for Games and Interactive Applications,"Expert Guidance on the Math Needed for 3D Game Programming
Developed from the authors popular Game Developers Conference (GDC) tutorial, Essential Mathematics for Games and Interactive Applications, Third Edition illustrates the importance of mathematics in 3D programming. It shows you how to properly animate, simulate, and render scenes and discusses the mathematics behind














...more",624,Hardcover,94.78529412
4.35,21,Game Engine Architecture,"Hailed as a ""must-have textbook"" (CHOICE, January 2010), the first edition of Game Engine Architecture provided readers with a complete guide to the theory and practice of game engine software development. Updating the content to match today s landscape of game engine architecture, this second edition continues to thoroughly cover the major components that make up a typica









...more",1052,Hardcover,96.03235294
4.37,0,"A First Course in Logic: An Introduction to Model Theory, Proof Theory, Computability, and Complexity","The ability to reason and think in a logical manner forms the basis of learning for most mathematics, computer science, philosophy and logic students. Based on the author's teaching notes at the University of Maryland and aimed at a broad audience, this text covers the fundamental topics in classical logic in an extremely clear, thorough and accurate style that is accessib
...more",431,Paperback,96.49411765
3.9,2,Computational Science and Engineering,"Encompasses the full range of computational science and engineering from modelling to solution, both analytical and numerical. It develops a framework for the equations and numerical methods of applied mathematics. Gilbert Strang has taught this material to thousands of engineers and scientists (and many more on MIT's OpenCourseWare 18.085-6). His experience is seen in his ...more",716,Hardcover,97.52647059
4.02,25,"Introduction to Automata Theory, Languages, and Computation","It has been more than 20 years since this classic book on formal languages, automata theory, and computational complexity was first published. With this long-awaited revision, the authors continue to present the theory in a concise and straightforward manner, now with an eye out for the practical applications. They have revised this book to make it more accessible to today ...more",521,Hardcover,97.68823529
4.03,1,Geometric Tools for Computer Graphics,"Do you spend too much time creating the building blocks of your graphics applications or finding and correcting errors? Geometric Tools for Computer Graphics is an extensive, conveniently organized collection of proven solutions to fundamental problems that you'd rather not solve over and over again, including building primitives, distance calculation, approximation, conta



























...more",1056,Hardcover,99.82941176
4.1,31,Computer Architecture: A Quantitative Approach,"Computer Architecture: A Quantitative Approach, Fifth Edition, explores the ways that software and technology in the cloud are accessed by digital media, such as cell phones, computers, tablets, and other mobile devices. The book, which became a part of Intel's 2012 recommended reading list for developers, covers the revolution of mobile computing. It also highlights the



...more",493,Paperback,101.0558824
4.42,38,Computer Systems: A Programmer's Perspective,"For Computer Organization and Architecture and Computer Systems courses in CS and EE and ECE departments. Developed out of an introductory course at Carnegie Mellon University, this text explains the important and enduring concepts underlying all computer systems, and shows the concrete ways that these ideas affect the correctness, performance, and utility of application p ...more",978,Hardcover,103.1735294
4.11,56,Modern Operating Systems,"For software development professionals and computer science students, Modern Operating Systems gives a solid conceptual overview of operating system design, including detailed case studies of Unix/Linux and Windows 2000.
What makes an operating system modern? According to author Andrew Tanenbaum, it is the awareness of high-demand computer applications--primarily in the ar
...more",976,Hardcover,103.4617647
4.11,56,"Modern Operating Systems, 4th Edition","""Modern Operating Systems, Fourth Edition, """" is intended for introductory courses in Operating Systems in Computer Science, Computer Engineering, and Electrical Engineering programs. It also serves as a useful reference for OS professionals"" The widely anticipated revision of this worldwide best-seller incorporates the latest developments in operating systems (OS) technol ...more",1136,Paperback,103.4617647
3.96,15,Structured Computer Organization,"Completely updated, this book explains how computer designers can follow the structured model to develop efficient hardware and software systems

New information has been included on UNIX, OS/2, INTEL 8088/80286/80386, Motorola 68000/68020/68030 and RISC machine. The operation of a typical IBM PC clone is now described in detail at the chip level.",669,Hardcover,103.6088235
3.67,2,Game Engine Gems 1,"Game Engine Gems Brings Together In A Single Volume Dozens Of New Articles From Leading Professionals In The Game Development Industry. Each ""Gem"" Presents A Previously Unpublished Technique Related To Game Engines And Real-Time Virtual Simulations. Specific Topics Include Rendering Techniques, Shaders, Scene Organization, Visibility Determination, Collision Detection, Aud ...more",362,Hardcover,105.65
4.13,14,"Concepts, Techniques, and Models of Computer Programming","This innovative text presents computer programming as a unified discipline in a way that is both practical and scientifically sound. The book focuses on techniques of lasting value and explains them precisely in terms of a simple abstract machine. The book presents all major programming paradigms in a uniform framework that shows their deep relationships and how and where

...more",936,Hardcover,107.7470588
3.87,13,File Structures: An Object-Oriented Approach with C++,"Based on the bestselling File Structures, Second Edition, this book takes an object-oriented approach to the study of file structures. It allows students and professionals to acquire the fundamental tools needed to design intelligent, cost-effective, and appropriate solutions to file structure problems. The book begins by presenting the software and hardware characteristic ...more",724,Paperback,108.3676471
4.16,16,The C++ Standard Library: A Tutorial and Reference,"The Best-Selling C++ ResourceNow Updated for C++11 The C++ standard library provides a set of common classes and interfaces that greatly extend the core C++ language. The library, however, is not self-explanatory. To make full use of its components-and to benefit from their power-you need a resource that does far more than list the classes and their functions. ""The C++ Sta ...more",1136,Hardcover,113.3029412
4.18,130,Artificial Intelligence: A Modern Approach,"For one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence. The long-anticipated revision of this best-selling text offers the most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. *NEW-Nontechnical learning material-Accompanies each part of the book. *NEW-The Internet as a sample application for ...more",1132,Hardcover,115.75
3.45,1,3D Game Engine Design: A Practical Approach to Real-Time Computer Graphics (The Morgan Kaufmann Series in Interactive 3D Technology),"A major revision of the international bestseller on game programming!
Graphics hardware has evolved enormously in the last decade. Hardware can now be directly controlled through techniques such as shader programming, which requires an entirely new thought process of a programmer. 3D Game Engine Design, Second Edition shows step-by-step how to make a shader-based graphi



...more",1040,Hardcover,117.9882353
3.82,0,Game Programming Gems 6,"Welcome to the sixth volume of the Game Programming Gems series. With team sizes constantly expanding, developers are finding themselves pushed to become increasingly specialized. This makes it important to have cutting-edge, ready-to-use material in your specialization, as well as resources that you can call upon if you need to work outside your area of expertise. Volume ...more",700,Hardcover,119.2029412
4.08,56,"Compilers: Principles, Techniques, and Tools","This introduction to compilers is the direct descendant of the well-known book by Aho and Ullman, Principles of Compiler Design. The authors present updated coverage of compilers based on research and techniques that have been developed in the field over the past few years. The book provides a thorough introduction to compiler design and covers topics such as context-free ...more",796,Hardcover,126.5794118
3.77,0,Game Programming Gems 4,"Uncover the secrets of the game industry's best programmers with the newest volume of the Game Programming Gems series With over 60 all new techniques, Game Programming Gems 4 continues to be the definitive resource for developers. Written by expert game developers who make today's amazing games, these articles not only provide quick solutions to cutting-edge problems, but ...more",703,Hardcover,139.4352941
3.82,0,Game Programming Gems 3,"The journey continues with this ALL NEW volume in the Game Programming Gems series! As with the first two volumes, a dynamic group of some of the best game programmers in the industry have generously joined together to share their insights and techniques. Their ready-to-use ideas, tips, and solutions, will help save hours of programming time, prevent redundancy, and leave ...more",663,Hardcover,143.1382353
4.26,5,Numerical Recipes: The Art of Scientific Computing,"Co-authored by four leading scientists from academia and industry, Numerical Recipes Third Edition starts with basic mathematics and computer science and proceeds to complete, working routines. Widely recognized as the most comprehensive, accessible and practical basis for scientific computing, this new edition incorporates more than 400 Numerical Recipes routines, many of
...more",1235,Hardcover,176.1441176
3.76,0,3D Game Engine Architecture: Engineering Real-Time Applications with Wild Magic (The Morgan Kaufmann Series in Interactive 3d Technology),"Dave Eberly's 3D Game Engine Design was the first professional guide to the essential concepts and algorithms of real-time 3D engines and quickly became a classic of game development. Dave's new book 3D Game Engine Architecture continues the tradition with a comprehensive look at the software engineering and programming of 3D engines.
This book is a complete guide to the




...more",752,Hardcover,203.1088235
3.94,22,An Introduction to Database Systems,"Continuing in the eighth edition, An Introduction to Database Systems provides a comprehensive introduction to the now very large field of database systems by providing a solid grounding in the foundations of database technology while shedding some light on how the field is likely to develop in the future. This new edition has been rewritten and expanded to stay current wi ...more",1040,Paperback,212.0970588
4.49,36,"The Art of Computer Programming, Volumes 1-3 Boxed Set","Knuth's classic work has been widely acclaimed as one of the most influential works in the field of computer science. For the first time, these books are available as a boxed, three-volume set. The handsome slipcase makes this set an ideal gift for the recent computer science graduate or professional programmer. Offering a description of classical computer science, this mu ...more",896,Boxed Set - Hardcover,220.3852941
4.77,4,"The Art of Computer Programming, Volumes 1-4a Boxed Set","""The bible of all fundamental algorithms and the work that taught many of today's software developers most of what they know about computer programming.""""--Byte,"" September 1995 Countless readers have spoken about the profound personal influence of Knuth's work. Scientists have marveled at the beauty and elegance of his analysis, while ordinary programmers have successfull



...more",3168,Hardcover,220.3852941
3.84,5,A Discipline for Software Engineering,"Designed to help individual programmers develop software more effectively and successfully, this book presents a scaled-down version of Humphrey's popular methods for managing the software process. It: presents concepts and methods for a disciplined software engineering process for individual programmers, following the Capability Maturity Model (CMM); scales down industria ...more",789,Hardcover,235.65
